[Lider] 09/05/2019, 14:39 Rango 5: Joseph West
[Lider] 09/02/2021, 00:27 Rango 5: Emiliano Andrade
[Lider] 16/02/2021, 16:13 Rango 5: Ivan Gonzales
[Lider] 16/02/2021, 16:13 Rango 5: Ivan Gonzales
[Lider] 16/02/2021, 16:18 "Director": Ivan Gonzales
[Lider] 16/02/2021, 16:24 "Director": Ivan Gonzales
[Lider] 16/02/2021, 16:52 Rango 5: Mister West
[Lider] 16/02/2021, 16:54 Rango 5: Mister West
[Lider] 16/02/2021, 19:23 Rango 5: Ivan Gonzales
[Lider] 16/02/2021, 19:26 "Sub/Director": Ivan Gonzales
[16/02/2021, 19:28] "Director" Ivan Gonzales: .
[16/02/2021, 20:01] "Director" Ivan Gonzales: .
[16/02/2021, 20:01] "Practicante  " Joseph West: alo buen dia
[16/02/2021, 20:01] "Director" Ivan Gonzales: holaaaaaaaaaaaaa
[16/02/2021, 20:02] "Director" Ivan Gonzales: .
[16/02/2021, 20:02] "Director" Ivan Gonzales: .
[16/02/2021, 20:03] "Practicante  " Joseph West: te aparecen los incendios que estoy haciendo?
[16/02/2021, 20:04] "Director" Ivan Gonzales: noo
[16/02/2021, 20:04] "Director" Ivan Gonzales: deja me pongo duty
[16/02/2021, 20:05] "Director" Ivan Gonzales: desparecieron donde nos poniamos duty :=(
[16/02/2021, 20:05] "Practicante  " Joseph West: fuck
[16/02/2021, 20:06] "Director" Ivan Gonzales: ni pedo a hacerlod de nuevo ;v
[17/02/2021, 03:20] Rango 5 Mister West: a
[17/02/2021, 18:35] Rango 1 Mister West: a
[17/02/2021, 18:35] Rango 1 Mister West: a
[17/02/2021, 18:40] Rango 1 Mister West: a
[17/02/2021, 19:11] Rango 5 Joseph West: asd
[17/02/2021, 19:12] Rango 5 Joseph West: asd
[17/02/2021, 19:37] Cadete Joseph West: asd
[17/02/2021, 19:38] Rango 1 Joseph West: asd
[17/02/2021, 19:40] Rango 1 Joseph West: asd
[17/02/2021, 19:43] "Practicante  " Joseph West: asd
[17/02/2021, 19:45] "Practicante  " Joseph West: asd
[17/02/2021, 19:45] Rango 15 Joseph West: asd
[17/02/2021, 19:49] asd Joseph West: asd
[17/02/2021, 19:50] asd Joseph West: ahora
[17/02/2021, 19:50] asd Mister West: ola
[17/02/2021, 19:50] asd Mister West: Hola baby
[17/02/2021, 19:50] asd Joseph West: Hay un problema en el guardado y carga de datos en las facciones
[17/02/2021, 19:50] asd Joseph West: voy a tener que encontrar la forma de solucionarlo
[17/02/2021, 19:50] asd Mister West: Yo voy a bañarme xD
[17/02/2021, 19:55] asd Joseph West: asd
[17/02/2021, 20:10] ad23 Joseph West: asd
[17/02/2021, 20:11] ad23 Joseph West: asd
[17/02/2021, 20:24] ad23 Joseph West: asd
[17/02/2021, 20:24] ad23 Mister West: Hola
[17/02/2021, 20:24] ad23 Joseph West: escribi
[17/02/2021, 20:24] ad23 Joseph West: vamos carajo
[17/02/2021, 20:25] ad23 Joseph West: y /fmiembros tambien anad
[17/02/2021, 20:25] ad23 Ivan Gonzales: .
[17/02/2021, 20:25] ad23 Mister West: Que ed Ad23?
[17/02/2021, 20:25] ad23 Joseph West: Fue un nombre previsional que le puse
[17/02/2021, 20:25] ad23 Joseph West: para ver si se guardaba todo
[17/02/2021, 20:25] ad23 Mister West: Quita eso xD
[17/02/2021, 20:25] ad23 Joseph West: Despues lo hace ivan (?
[17/02/2021, 20:25] ad23 Mister West: Ivan viste comisaria?
[17/02/2021, 20:25] ad23 Ivan Gonzales: si bro,yo edito los rangos y eso 
[17/02/2021, 20:25] ad23 Joseph West: te quiero ivan, no homo
[17/02/2021, 20:25] ad23 Ivan Gonzales: no
[17/02/2021, 20:26] ad23 Ivan Gonzales: igual se le quiere bro 
[17/02/2021, 20:26] ad23 Mister West: Que traición
[17/02/2021, 20:26] ad23 Mister West: QUE TRAICION
[17/02/2021, 20:44] Comisario Mister West: a
[17/02/2021, 20:44] Comisario Mister West: Hola
[17/02/2021, 20:44] Comisario Mister West: Me leen?
[17/02/2021, 20:44] Comisario Joseph West: soi
[17/02/2021, 21:00] Comisario Mister West: a
[17/02/2021, 21:00] Comisario Mister West: No funcia el /d ni /balasgoma
[17/02/2021, 21:01] Comisario Mister West: Ni /bloqueocarretera
[17/02/2021, 21:01] Comisario Joseph West: ok
[17/02/2021, 21:02] Comisario Mister West: Ningun comando PD funciona
[17/02/2021, 21:04] Comisario Joseph West: asd
[18/02/2021, 00:18] Comisario Joseph West: asd
[18/02/2021, 00:18] Rango 5 Joseph West: asd
[18/02/2021, 00:18] Rango 5 Mister West: a
[18/02/2021, 00:50] Rango 5 Ivan Gonzales: .
[18/02/2021, 00:50] Rango 5 Ivan Gonzales: ahorita modifico los rangos t
[18/02/2021, 00:50] Rango 5 Mister West: ¿Viste el icono que le puse?
[18/02/2021, 00:50] Rango 5 Mister West: Esta bueno?
[18/02/2021, 00:51] Rango 5 Mister West: R de Radio
[18/02/2021, 01:12] || Director || Ivan Gonzales: caja
[18/02/2021, 01:12] || Director || Ivan Gonzales: .
[18/02/2021, 01:16] || Director || Mister West: Canal 100
[18/02/2021, 17:17] Comisario Ivan Gonzales: .
[18/02/2021, 17:17] Comisario Mister West: a
[18/02/2021, 17:17] Comisario Mister West: usa /facciones
[18/02/2021, 17:17] Comisario Ivan Gonzales: listo ?
[18/02/2021, 17:18] Comisario Mister West: Separaremos FD de LSMD
[18/02/2021, 17:18] Comisario Ivan Gonzales: no, ya que despues FD y MD no tendrian mucho rol
[18/02/2021, 17:18] Comisario Ivan Gonzales: eso me lo dijo josep
[18/02/2021, 17:19] Comisario Mister West: Tengo que hablar cn joseph
[18/02/2021, 17:19] Comisario Ivan Gonzales: y MD para que tenga mas rol que se ecargue de capasitar a gente para que trabaje en el hospital
[18/02/2021, 22:25] Comisario Ivan Gonzales: .
[18/02/2021, 22:54] [/d] Comisario Ivan Gonzales: Un strick una bola diria el ampaller
